page_id,NAME,ID,ALIGN,EYE,HAIR,SEX,LGBTQ,ALIVE,APPEARANCES,MONTH_FA,YEAR_FA,UNIVERSE
1643,Franklin Nelson (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Bald,Male Characters,FALSE,Living Characters,528,April,1964,Marvel
1285,Brian Braddock (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,FALSE,Living Characters,528,October,1976,Marvel
1453,Otto Octavius (Earth-616),Secret Identity,Neutral Characters,Hazel Eyes,Brown Hair,Male Characters,FALSE,Deceased Characters,526,July,1963,Marvel
6194,James Rhodes (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,FALSE,Living Characters,525,January,1979,Marvel
1487,Timothy Dugan (Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,FALSE,Deceased Characters,517,May,1963,Marvel
1380,Crystalia Amaquelin (Earth-616),Public Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Female Characters,FALSE,Living Characters,512,December,1965,Marvel
1613,Samuel Wilson (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,FALSE,Living Characters,512,September,1969,Marvel
1931,Wilson Fisk (Earth-616),Public Identity,Bad Characters,Blue Eyes,Bald,Male Characters,FALSE,Living Characters,503,July,1967,Marvel
1596,Odin Borson (Earth-616),Public Identity,Neutral Characters,Blue Eyes,White Hair,Male Characters,FALSE,Living Characters,502,October,1962,Marvel
1409,Deadpool (Wade Wilson),Secret Identity,Neutral Characters,Brown Eyes,Bald,Male Characters,TRUE,Living Characters,500,February,1991,Marvel
1187,Dane Whitman (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,FALSE,Living Characters,478,December,1967,Marvel
1741,Harold Osborn (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,FALSE,Living Characters,474,December,1965,Marvel
68416,Franklin Richards (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,FALSE,Living Characters,473,November,1968,Marvel
2589,Jessica Drew (Earth-616),Secret Identity,Good Characters,Green Eyes,Auburn Hair,Female Characters,FALSE,Living Characters,471,February,1977,Marvel
2626,Roberto da Costa (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,FALSE,Living Characters,464,November,1982,Marvel
2007,Rahne Sinclair (Earth-616),Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,FALSE,Living Characters,448,November,1982,Marvel
1130,Elizabeth Ross (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,FALSE,Living Characters,446,May,1962,Marvel
2278,Lorna Dane (Earth-616),Secret Identity,Good Characters,Green Eyes,Green Hair,Female Characters,FALSE,Living Characters,433,October,1968,Marvel
67048,Blaine Colt (Earth-616),Public Identity,NA,Blue Eyes,Blond Hair,Male Characters,FALSE,Deceased Characters,429,NA,NA,Marvel
1705,Johnathon Blaze (Earth-616),Secret Identity,Good Characters,Blue Eyes,Reddish Blond Hair,Male Characters,FALSE,Living Characters,426,August,1972,Marvel
2550,Sif (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,FALSE,Living Characters,422,March,1964,Marvel
2365,Red Hulk (Thaddeus Ross),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,FALSE,Living Characters,415,May,1962,Marvel
1900,Jubilation Lee (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,FALSE,Living Characters,408,May,1989,Marvel
2420,Volstagg (Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,FALSE,Living Characters,406,August,1965,Marvel
1127,Balder Odinson (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,FALSE,Deceased Characters,403,October,1962,Marvel
1676,Galactus (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,No Hair,Male Characters,FALSE,Living Characters,390,March,1966,Marvel
1395,Danielle Moonstar (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,FALSE,Living Characters,388,November,1982,Marvel
2183,Marc Spector (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,FALSE,Living Characters,387,August,1975,Marvel
1782,Gwendolyne Stacy (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,FALSE,Deceased Characters,384,December,1965,Marvel
2137,Medusalith Amaquelin (Earth-616),Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,FALSE,Living Characters,382,March,1965,Marvel
2374,Sabretooth (Victor Creed),Secret Identity,Bad Characters,Amber Eyes,Blond Hair,Male Characters,FALSE,Living Characters,382,August,1977,Marvel
2077,Illyana Rasputina (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,FALSE,Living Characters,380,May,1975,Marvel
2344,Johann Shmidt (Earth-616),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,FALSE,Deceased Characters,376,August,1941,Marvel
1616,Fandral (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,FALSE,Deceased Characters,375,August,1965,Marvel
1131,Sean Cassidy (Earth-616),Secret Identity,Neutral Characters,Green Eyes,Strawberry Blond Hair,Male Characters,FALSE,Living Characters,374,January,1967,Marvel
2487,Thomas Raymond (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,FALSE,Living Characters,373,September,1940,Marvel
1572,Uatu (Earth-616),Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,FALSE,Deceased Characters,373,April,1963,Marvel
2239,Richard Rider (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,FALSE,Deceased Characters,373,September,1976,Marvel
1827,Hogun (Earth-616),Public Identity,Good Characters,Grey Eyes,Black Hair,Male Characters,FALSE,Living Characters,371,August,1965,Marvel
55878,Raven Darkholme (Earth-616),Secret Identity,Bad Characters,Yellow Eyes,Red Hair,Female Characters,TRUE,Living Characters,371,April,1978,Marvel
2173,Barbara Morse (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,FALSE,Living Characters,368,June,1971,Marvel
1179,Blackagar Boltagon (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,FALSE,Living Characters,366,December,1965,Marvel
2392,Brunnhilde (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,FALSE,Living Characters,361,December,1970,Marvel
1404,Alison Blaire (Earth-616),Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,FALSE,Living Characters,353,February,1980,Marvel
18186,Venom (Symbiote) (Earth-616),Known to Authorities Identity,Neutral Characters,Variable Eyes,No Hair,Agender Characters,FALSE,Living Characters,348,May,1984,Marvel
1586,John Walker (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,FALSE,Living Characters,346,November,1986,Marvel
2440,Greer Grant (Earth-616),Public Identity,Good Characters,Green Eyes,Black Hair,Female Characters,FALSE,Living Characters,342,November,1972,Marvel
2185,Karla Sofen (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,FALSE,Living Characters,340,December,1975,Marvel
2382,William Baker (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,FALSE,Living Characters,338,September,1963,Marvel
1300,Sharon Carter (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,FALSE,Living Characters,332,March,1966,Marvel
1180,Felicia Hardy (Earth-616),Public Identity,Bad Characters,NA,Blond Hair,Female Characters,FALSE,Living Characters,332,July,1979,Marvel
1901,Cain Marko (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Red Hair,Male Characters,FALSE,Living Characters,329,July,1965,Marvel
37751,Monica Rambeau (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,FALSE,Living Characters,327,NA,NA,Marvel
20978,Maria Hill (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,FALSE,Living Characters,325,April,2005,Marvel
1161,Ben Urich (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,FALSE,Living Characters,324,July,1978,Marvel
2182,Heather Douglas (Earth-616),Secret Identity,Good Characters,Blue Eyes,Bald,Female Characters,TRUE,Living Characters,323,January,1973,Marvel
100209,Millicent Collins (Earth-616),Public Identity,NA,Blue Eyes,Blond Hair,Female Characters,FALSE,Living Characters,321,December,1945,Marvel
1973,James Proudstar (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,FALSE,Living Characters,320,June,1984,Marvel
1633,Angelica Jones (Earth-616),Known to Authorities Identity,Good Characters,Green Eyes,Red Hair,Female Characters,FALSE,Living Characters,319,May,1985,Marvel
11857,Edward Brock (Earth-616),Public Identity,Neutral Characters,Black Eyes,Blond Hair,Male Characters,FALSE,Living Characters,318,September,1986,Marvel
2513,MacDonald Gargan (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Bald,Male Characters,FALSE,Living Characters,317,December,1964,Marvel
2146,Mephisto (Earth-616),No Dual Identity,Bad Characters,White Eyes,Black Hair,Male Characters,FALSE,Living Characters,316,December,1968,Marvel
7630,Tabitha Smith (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,FALSE,Living Characters,316,November,1985,Marvel
2238,Jean-Paul Beaubier (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,TRUE,Living Characters,313,April,1979,Marvel
1706,Daniel Ketch (Earth-616),Secret Identity,Neutral Characters,Green Eyes,Brown Hair,Male Characters,FALSE,Living Characters,311,May,1990,Marvel
1460,Neena Thurman (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,FALSE,Living Characters,310,March,1992,Marvel
2010,Wong (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Bald,Male Characters,FALSE,Living Characters,306,July,1963,Marvel
2456,Thanos (Earth-616),No Dual Identity,Bad Characters,Red Eyes,No Hair,Male Characters,FALSE,Living Characters,306,February,1973,Marvel
15282,Shang-Chi (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,FALSE,Living Characters,296,December,1973,Marvel
4704,Alicia Masters (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Strawberry Blond Hair,Female Characters,FALSE,Living Characters,293,November,1962,Marvel
5708,Robert Baldwin (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,FALSE,Living Characters,293,September,1988,Marvel
1902,Vance Astrovik (Earth-616),Public Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,FALSE,Living Characters,290,July,1975,Marvel
6633,Wendell Vaughn (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,FALSE,Living Characters,290,January,1978,Marvel
100716,Chili Storm (Earth-616),Public Identity,NA,Green Eyes,Red Hair,Female Characters,TRUE,Living Characters,284,October,1948,Marvel
4565,Abner Jenkins (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,FALSE,Living Characters,284,August,1964,Marvel
1505,Elektra Natchios (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,FALSE,Living Characters,280,January,1981,Marvel
1256,Bullseye (Lester) (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,FALSE,Living Characters,277,March,1976,Marvel
119507,Forge (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,FALSE,Living Characters,276,August,1984,Marvel
9106,Virginia Potts (Earth-616),No Dual Identity,Good Characters,Green Eyes,Red Hair,Female Characters,FALSE,Living Characters,274,September,1963,Marvel
2383,Walter Langkowski (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,FALSE,Living Characters,273,April,1979,Marvel
1733,Gorgon (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,FALSE,Living Characters,272,November,1965,Marvel
37689,James Madrox (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,FALSE,Living Characters,271,February,1975,Marvel
1808,Heimdall (Earth-616),Secret Identity,Good Characters,Grey Eyes,Brown Hair,Male Characters,FALSE,Living Characters,270,October,1962,Marvel
2558,Theresa Cassidy (Earth-616),Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,FALSE,Living Characters,267,April,1981,Marvel
1565,Laura Kinney (Earth-616),Secret Identity,Good Characters,Green Eyes,Black Hair,Female Characters,FALSE,Living Characters,265,February,2004,Marvel
33447,Arthur Douglas (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,FALSE,Living Characters,264,February,1973,Marvel
2511,Peter Parker (Ben Reilly) (Earth-616),Secret Identity,Good Characters,Hazel Eyes,Blond Hair,Male Characters,FALSE,Deceased Characters,263,October,1975,Marvel
1971,Warlock (Technarch) (Earth-616),Secret Identity,Good Characters,Black Eyes,No Hair,Male Characters,FALSE,Living Characters,261,August,1984,Marvel
1903,Kevin Plunder (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,FALSE,Living Characters,260,March,1965,Marvel
1445,Leonard Samson (Earth-616),Public Identity,Good Characters,Brown Eyes,Green Hair,Male Characters,FALSE,Deceased Characters,260,July,1971,Marvel
2582,Melissa Gold (Earth-616),Secret Identity,Good Characters,Green Eyes,Blond Hair,Female Characters,FALSE,Living Characters,260,August,1979,Marvel
2037,Lockheed (Earth-616),Secret Identity,Good Characters,NA,No Hair,Male Characters,FALSE,Living Characters,260,February,1983,Marvel
1935,Mercedes Knight (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,FALSE,Living Characters,259,March,1972,Marvel
2060,Moira Kinross (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,FALSE,Deceased Characters,259,December,1975,Marvel
1915,Karnak (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,FALSE,Deceased Characters,257,December,1965,Marvel
2204,Namorita Prentiss (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,FALSE,Deceased Characters,257,June,1972,Marvel
2038,Lockjaw (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,FALSE,Living Characters,255,December,1965,Marvel
1029,Adam Warlock (Earth-616),No Dual Identity,Good Characters,White Eyes,Gold Hair,Male Characters,FALSE,Living Characters,252,September,1967,Marvel
2407,Heather McNeil (Earth-616),Public Identity,Neutral Characters,Green Eyes,Red Hair,Female Characters,FALSE,Living Characters,252,November,1980,Marvel
2034,Curtis Connors (Earth-616),Public Identity,Neutral Characters,Red Eyes,No Hair,Male Characters,FALSE,Living Characters,250,November,1963,Marvel
2097,Theodore Sallis (Earth-616),Secret Identity,Good Characters,Red Eyes,No Hair,Male Characters,FALSE,Living Characters,249,May,1971,Marvel
2421,Adrian Toomes (Earth-616),Public Identity,Bad Characters,Hazel Eyes,Bald,Male Characters,FALSE,Living Characters,248,May,1963,Marvel
1514,Amora (Earth-616),Public Identity,Bad Characters,Green Eyes,Blond Hair,Female Characters,FALSE,Living Characters,247,April,1964,Marvel
1335,Clea (Earth-616),No Dual Identity,Good Characters,Blue Eyes,White Hair,Female Characters,FALSE,Living Characters,247,November,1964,Marvel
1289,Mar-Vell (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,FALSE,Deceased Characters,245,December,1967,Marvel
2309,Eugene Judd (Earth-616),Public Identity,Good Characters,Brown Eyes,Bald,Male Characters,FALSE,Living Characters,245,August,1983,Marvel
1813,Daimon Hellstrom (Earth-616),No Dual Identity,Neutral Characters,Red Eyes,Red Hair,Male Characters,FALSE,Living Characters,242,September,1973,Marvel
76396,John Jonah Jameson III (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Auburn Hair,Male Characters,FALSE,Living Characters,240,March,1963,Marvel
2497,Triton (Earth-616),No Dual Identity,Good Characters,Green Eyes,No Hair,Male Characters,FALSE,Living Characters,240,December,1965,Marvel
2138,Meggan Puceanu (Earth-616),Secret Identity,Good Characters,NA,NA,Female Characters,FALSE,Living Characters,240,December,1983,Marvel
6517,Robert Reynolds (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,FALSE,Living Characters,240,September,2000,Marvel
2351,Aleksei Sytsevich (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,FALSE,Deceased Characters,239,October,1966,Marvel
15903,Santo Vaccarro (Earth-616),Secret Identity,Good Characters,White Eyes,No Hair,Male Characters,FALSE,Living Characters,238,September,2003,Marvel
2335,Jonathan Clay (Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,TRUE,Living Characters,237,August,1960,Marvel
1095,Ares (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,FALSE,Deceased Characters,236,April,1949,Marvel
2523,Sersi (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,FALSE,Living Characters,236,September,1976,Marvel
2617,Guido Carosella (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Bald,Male Characters,FALSE,Living Characters,236,July,1985,Marvel
1533,Zabu (Earth-616),Public Identity,Good Characters,Green Eyes,Orange Hair,Male Characters,FALSE,Living Characters,234,March,1965,Marvel
2186,Michael Morbius (Earth-616),Secret Identity,Neutral Characters,Red Eyes,Black Hair,Male Characters,FALSE,Living Characters,231,October,1971,Marvel
2353,Julio Richter (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,TRUE,Living Characters,231,June,1987,Marvel
15511,Phoenix Force (Earth-616),Secret Identity,Neutral Characters,NA,No Hair,NA,FALSE,Deceased Characters,229,October,1976,Marvel
15907,Megan Gwynn (Earth-616),Public Identity,Good Characters,Black Eyeballs,Pink Hair,Female Characters,FALSE,Living Characters,229,November,2004,Marvel
2724,Kyle Richmond (Earth-616),Secret Identity,Good Characters,Brown Eyes,Auburn Hair,Male Characters,FALSE,Living Characters,227,October,1969,Marvel
1911,Karen Page (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,FALSE,Deceased Characters,226,April,1964,Marvel
